;roomType;roomPrice;roomURL;hostType;rating;countReviews;;Kitchen;Smoking allowed;Pool;Laundry room;Dryer;WiFi;Ethernet connection;TV;Pets Allowed;Patio;Crib;Bedroom 2;Baby bath;Unavailable: Lock on bedroom door;Sauna;Refrigerator;Waterfront;View;Long term stays allowed;Breakfast;Bedroom;Lock on bedroom door;High Chair;Lit path to the guest entrance;HDTV;Elevator;Accessible;Security Cameras;Bathroom;Smoke Alarm;EV Charger;Parking;Fire pit;Microwave;Washer;Luggage Dropoff Allowed;Air Conditioning;Hot Tub;Bathtub;Carbon Monoxide Alarm
31;Cabana;268.0;https://www.airbnb.com/rooms/1146551102754545239?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234467_cWQ94AmNybaBhBSB&previous_page_section_name=1000&federated_search_id=0aebbc7a-45f4-4e9a-95a3-c5a5b34eb311;no_class;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
32;Apartamento;286.0;https://www.airbnb.com/rooms/790421315264578733?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234467_N0OR11gy%2B8PLa%2FG5&previous_page_section_name=1000&federated_search_id=0aebbc7a-45f4-4e9a-95a3-c5a5b34eb311;preferido;4.93;70;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
33;Microcasa;236.0;https://www.airbnb.com/rooms/983524862597718891?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234467_q4cs15h4ovQ7p6Bp&previous_page_section_name=1000&federated_search_id=0aebbc7a-45f4-4e9a-95a3-c5a5b34eb311;superhost;4.65;20;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
34;Apartamento;302.0;https://www.airbnb.com/rooms/1040467447222167286?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234467_3T5QYtuqBEWQBMy6&previous_page_section_name=1000&federated_search_id=0aebbc7a-45f4-4e9a-95a3-c5a5b34eb311;preferido;5.0;12;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;1;0;0;1
35;Apartamento;214.0;https://www.airbnb.com/rooms/53172574?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234483_BC6WSkw8KUQIwR2I&previous_page_section_name=1000&federated_search_id=c297b19f-19af-4a48-9bc2-bf202096b7a9;preferido;4.80;164;0;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1;0;0;1
36;Hotel;340.0;https://www.airbnb.com/rooms/25779707?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234483_z%2F%2B2wcrdGFUE7bZh&previous_page_section_name=1000&federated_search_id=c297b19f-19af-4a48-9bc2-bf202096b7a9;preferido;4.85;255;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
37;Chalé;322.0;https://www.airbnb.com/rooms/1049566389001639497?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234483_1nq1f4ZVTOI4kV%2Fo&previous_page_section_name=1000&federated_search_id=c297b19f-19af-4a48-9bc2-bf202096b7a9;preferido;4.83;12;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
38;Quarto;175.0;https://www.airbnb.com/rooms/885473499363501494?adults=2&category_tag=Tag%3A8678&enable_m3_private_room=true&photo_id=1645970923&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234483_9UR7dWW%2BOexiQgH5&previous_page_section_name=1000&federated_search_id=c297b19f-19af-4a48-9bc2-bf202096b7a9;preferido;4.91;23;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;1;0;1;0;0;1
39;Quarto;84.0;https://www.airbnb.com/rooms/793738099103292199?adults=2&category_tag=Tag%3A8678&enable_m3_private_room=true&photo_id=1581142802&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234483_HMWQ%2Fwmca5imLFRn&previous_page_section_name=1000&federated_search_id=c297b19f-19af-4a48-9bc2-bf202096b7a9;no_class;4.66;85;0;0;0;0;0;1;1;0;1;1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;1
40;Loft;268.0;https://www.airbnb.com/rooms/897885223742052860?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234483_ikt1Azvi6gfhkr7D&previous_page_section_name=1000&federated_search_id=c297b19f-19af-4a48-9bc2-bf202096b7a9;preferido;4.98;42;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;1;0;1;0;0;0;0;1;0;0;1
41;Contêiner;545.0;https://www.airbnb.com/rooms/920786113512638933?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234483_MZs%2FmXLAqFfsag%2Bj&previous_page_section_name=1000&federated_search_id=c297b19f-19af-4a48-9bc2-bf202096b7a9;preferido;5.0;49;0;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;1
42;Microcasa;236.0;https://www.airbnb.com/rooms/983520826954388520?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234484_%2FT%2BrQPShKivyh3aa&previous_page_section_name=1000&federated_search_id=c297b19f-19af-4a48-9bc2-bf202096b7a9;preferido;4.79;24;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;1;0;1
43;Loft;296.0;https://www.airbnb.com/rooms/931281233318630367?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234484_gbGPcKkDs%2FhOCzii&previous_page_section_name=1000&federated_search_id=c297b19f-19af-4a48-9bc2-bf202096b7a9;preferido;4.95;42;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;1;0;1;0;0;0;0;1;0;0;1
44;Loft;99.0;https://www.airbnb.com/rooms/53134382?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234484_pu4n5HC2kU5EjaCX&previous_page_section_name=1000&federated_search_id=c297b19f-19af-4a48-9bc2-bf202096b7a9;preferido;4.98;83;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;1;0;0;0;1;1;0;0;1
45;Hotel;340.0;https://www.airbnb.com/rooms/25683137?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234484_U16j71F2G64RefX0&previous_page_section_name=1000&federated_search_id=c297b19f-19af-4a48-9bc2-bf202096b7a9;preferido;4.93;216;0;1;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0
46;Casa;106.0;https://www.airbnb.com/rooms/652253947199568854?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234484_M8vX6hq4ANTf2AE4&previous_page_section_name=1000&federated_search_id=c297b19f-19af-4a48-9bc2-bf202096b7a9;no_class;4.74;125;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;1;0;0;1
47;Quarto;220.0;https://www.airbnb.com/rooms/34150608?adults=2&category_tag=Tag%3A8678&enable_m3_private_room=true&photo_id=1054316573&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234484_D5dkODIRypsMIFLZ&previous_page_section_name=1000&federated_search_id=c297b19f-19af-4a48-9bc2-bf202096b7a9;preferido;4.83;220;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;1;0;0;0;0;1
48;Pousada;102.0;https://www.airbnb.com/rooms/868083935693221380?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234484_sbN0BlJeTO5XuiK3&previous_page_section_name=1000&federated_search_id=c297b19f-19af-4a48-9bc2-bf202096b7a9;no_class;4.74;27;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1
49;Cabana;983.0;https://www.airbnb.com/rooms/901681171987263052?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234484_cf3Tdqv%2BFq2RHKSV&previous_page_section_name=1000&federated_search_id=c297b19f-19af-4a48-9bc2-bf202096b7a9;superhost;5.0;33;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
50;Chalé;894.0;https://www.airbnb.com/rooms/955265776273049874?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234484_Ikz%2F7NMSybl%2F93Ti&previous_page_section_name=1000&federated_search_id=c297b19f-19af-4a48-9bc2-bf202096b7a9;preferido;5.0;42;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
51;Chalé;782.0;https://www.airbnb.com/rooms/47030954?adults=2&search_mode=regular_search&check_in=2024-09-17&check_out=2024-09-19&source_impression_id=p3_1716234484_oFh37a5dfhBnxl9j&previous_page_section_name=1000&federated_search_id=c297b19f-19af-4a48-9bc2-bf202096b7a9;preferido;4.99;230;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1;1;0;1
